Frequency (kHz),Shot noise measurement (dB),Total measured noise (dB),Total budgeted noise (dB),Shot noise average (dB)
19.968,0.0008778414393571109,3.3137707536137513,4.240453432868055,0.0
20.096,-0.0017162647563163376,3.3212570085126556,4.020021131643755,0.0
20.224,-0.022820808123521878,3.266773574768074,3.7148671524508576,0.0
20.352,-0.06612754838893863,3.1861788835573264,3.530121347759228,0.0
20.48,0.035019253620166405,3.0274108531748145,3.2896301431901707,0.0
20.608,0.1485255333857619,2.8537846070526456,3.132385059320982,0.0
20.736,0.06765418172951965,3.6230189410298856,3.2629164059127365,0.0
20.864,0.027628475486884078,3.57992257245762,3.2410698182474422,0.0
20.992,-0.01727994439345209,2.5439264137801336,2.7820770277530382,0.0
21.12,-0.028829138941744804,2.5633247141608564,2.5996409654643546,0.0
21.248,0.06024397342023312,2.5391486065483626,2.3897553307900385,0.0
21.376,0.04984925235915692,2.443028310178711,2.222988718517093,0.0
21.504,0.0016215006175142955,2.150583987876077,2.0326141946559546,0.0
21.632,0.00824989527108067,1.8593411536795,1.8512370845874992,0.0
21.76,0.02823909174429611,1.7217546796212992,1.7463033897005134,0.0
21.888,0.04178054005576196,1.5362650759577943,1.575750514175068,0.0
22.016000000000002,0.06868425164541153,1.4501004617892903,1.426822985292938,0.0
22.144000000000002,0.06198926474801561,1.221676367274441,1.334371807080741,0.0
22.272000000000002,0.05659134259721571,1.018161897548687,1.2448167886108155,0.0
22.400000000000002,0.0502783109249741,1.042080114550357,1.2454656251168057,0.0
22.528,0.02178284788504148,0.9963235209856524,1.2142523332235085,0.0
22.656,-0.0013440193021285042,0.9020810692933423,1.0882905474298787,0.0
22.784,-0.028695138577137413,0.7725818020457402,0.9841869054796687,0.0
22.912,-0.020322132950344428,0.8076957287114597,0.9967198943611151,0.0
23.04,0.0023081269789723188,0.9552576282467293,1.0880682871668892,0.0
23.168,0.04363113110504027,0.7870490943578718,0.9649116536260751,0.0
23.296,0.06436408949542559,0.7665445612017223,0.8399004728103929,0.0
23.424,0.05261503915806879,0.6739716816289183,0.824430522591907,0.0
23.552,0.0722699915839954,0.5104543920843427,0.7599394479957865,0.0
23.68,0.028057449726806124,0.4726320752502719,0.6896174973882578,0.0
23.808,-0.021361623041068423,0.5536559738772624,0.720820245148325,0.0
23.936,-0.02069400263518084,0.6809715179415317,0.9401757886179324,0.0
24.064,0.0015455351615778655,0.754643048025472,0.8380487200038056,0.0
24.192,0.027189420602600663,0.5401047086952981,0.5758357408140561,0.0
24.32,0.028449129080895568,0.408335216547664,0.5678973453365483,0.0
24.448,0.037918014440801784,0.37889518493488583,0.47864654822401514,0.0
24.576,0.028953789580323554,0.4792601284347361,0.49819514685341415,0.0
24.704,0.005894081294222643,0.5337244571118414,0.5749673509863763,0.0
24.832,0.004406244212610048,0.5888179272525389,0.5492497826987154,0.0
24.96,0.0444325574418589,0.5989560418071789,0.534105443220281,0.0
25.088,0.013399974655665529,1.1867435099510066,0.7252405013271297,0.0
25.216,0.04045540931360606,0.7527833403938727,0.38032199367512065,0.0
25.344,0.0011253392322877627,0.23123776930489637,0.2163104247297079,0.0
25.472,-0.033883951115909514,0.371962591944339,0.17060091533906988,0.0
25.6,0.0023941739921155346,0.3682424631687192,0.19132306168098084,0.0
25.728,0.04607238662299372,0.18450804358281794,0.1747110012925626,0.0
25.856,0.021611136732488302,0.18138923594565967,0.15159147277228607,0.0
25.984,0.0023372050304967815,0.19826949423623846,0.1289510899962884,0.0
26.112000000000002,-0.010432078943373162,0.09876266801702166,0.044060752021752136,0.0
26.240000000000002,0.0020125935044423325,0.18775991945937057,0.007785915735780149,0.0
26.368000000000002,0.04167597845859742,0.3092771786903712,0.11783507315182824,0.0
26.496000000000002,0.049115023199529234,0.47560759815725023,0.1897924679603705,0.0
26.624000000000002,0.07669507343739651,0.9126474446299742,0.3560233862969692,0.0
26.752,0.027408950818914493,2.349510345095334,1.6718791434303395,0.0
26.88,0.029707471767908028,4.467649968376297,4.346232574404314,0.0
27.008,0.0705626809890995,4.038677493804625,3.785736855918791,0.0
27.136,0.033645787539988696,1.8020919656916543,1.1142649072954065,0.0
27.264,0.018778597129688077,0.7045561154783769,0.3009111622918286,0.0
27.392,-0.006922842202137789,0.3834632938513365,0.09578971839947134,0.0
27.52,-0.00958405184297956,0.371962591944339,0.04625876801509363,0.0
27.648,0.01718573917682937,2.518988665255,0.9927339535063626,0.0
27.776,0.0008208625315266325,12.505303243288907,12.0140434644428,0.0
27.904,0.006800421709742443,12.986803687361013,12.712118499346534,0.0
28.032,-0.024470720455135098,3.430720153687737,2.1363600859970506,0.0
28.16,-0.03349244807966471,0.25035871891210354,0.11399213651833649,0.0
28.288,-0.0008863039375130056,0.029277987421856066,-0.013118183614903196,0.0
28.416,0.031366643603846604,-0.0015921811656807176,-0.09765354332830545,0.0
28.544,0.0173764947216969,-0.06989415802934829,-0.11822145489132803,0.0
28.672,0.010653092323645523,-0.10180408970083255,-0.11689838741996265,0.0
28.8,-0.005311302528042766,-0.08687913261114252,-0.12217755391740878,0.0
28.928,0.05092628492497829,-0.13970318101971196,-0.11337077280499605,0.0
29.056,0.04435578435572533,-0.07894464439587245,-0.11814236931771549,0.0
29.184,-0.016841014923308313,-0.0905413893333378,-0.12141907533756048,0.0
29.312,0.040026456096804226,-0.12422526982803778,-0.1375611948560649,0.0
29.44,0.02821010027639078,-0.09977314364546937,-0.09793841628197908,0.0
29.568,-0.009212063276887535,-0.04671021579147959,-0.07263010332414972,0.0
29.696,0.02624555498160167,-0.06133011908729234,-0.06408387217172774,0.0
29.824,-0.015238932172701614,-0.05466428071610661,-0.054691241715836836,0.0
29.952,-0.023030898593721216,-0.03739336901180073,-0.004349060182529068,0.0
30.080000000000002,-0.011748556928685396,-0.047778533935663454,0.016803301059855245,0.0
30.208000000000002,-0.01527758325189362,0.007458764151696333,-0.038836194787749474,0.0
30.336000000000002,0.008869584087377853,-0.08634554470394852,-0.12119852993808038,0.0
30.464000000000002,0.030003247536344067,-0.14329846979291802,-0.0814361397097148,0.0
30.592000000000002,-0.01974026321406362,0.026036056163726392,-0.10788754208636682,0.0
30.72,-0.0017257640516111766,0.15764298463871743,-0.042092898532527234,0.0
30.848,0.03145299467313993,0.3643038752711918,0.0807535900697377,0.0
30.976,0.06231341060685332,0.4669957975732552,0.11461511599572725,0.0
31.104,0.06303827484538632,0.236874273311607,-0.00524527689635676,0.0
31.232,0.04497585527380636,0.1742651348744444,-0.043071375606644445,0.0
31.36,0.05408284388994899,0.08982697635376465,-0.1296315477719491,0.0
31.488,0.009699126989252767,-0.02088500109382157,-0.06573739033615222,0.0
31.616,0.023146350774347978,-0.08417076365464239,-0.0043472734840771556,0.0
31.744,0.02446169435029962,0.006895320995565269,-0.11476057543713279,0.0
31.872,0.01178834647068496,-0.06989415802934829,-0.17323781557920956,0.0
32.0,0.0223642721663434,-0.2566329196834807,-0.22893691093897955,0.0
32.128,0.08004225434416644,-0.20522090022869294,-0.34896618255808803,0.0
32.256,0.04022675506998946,-0.2882668175634897,-0.3552838487123319,0.0
32.384,0.011969143486184965,-0.36837548344992854,-0.3045110724604758,0.0
32.512,0.01619397979965672,-0.2881520715955561,-0.3093581810525318,0.0
32.64,0.008106975116973445,-0.3255270153248194,-0.32212630259971703,0.0
32.768,-0.0024507096722873292,-0.43204235668154944,-0.27599871794765124,0.0
32.896,0.00665747770338905,-0.4500193949259639,-0.2929843674533774,0.0
33.024,0.02381411083972408,-0.44420179425992423,-0.2539597512824277,0.0
33.152,0.0180820168725465,-0.44285684515453283,-0.2449388372523757,0.0
33.28,0.07190795202920172,-0.3680317763371901,-0.24601117993995228,0.0
33.408,0.040598979832124175,-0.29218627175276435,-0.3416984056329703,0.0
33.536,0.008297337126012747,-0.197657940650007,-0.38320069715693633,0.0
33.664,0.0043682737432073964,-0.21568283749583636,-0.30203976543915956,0.0
33.792,0.015507265233084976,-0.24015331115047128,-0.2298927635609342,0.0
33.92,0.026608319232745915,-0.25992342239498817,-0.16726423408634605,0.0
34.048,0.016918555889167297,-0.18564147188622832,-0.03812256012945158,0.0
34.176,0.057650439364734206,-0.27399044148694174,-0.16250947286533576,0.0
34.304,0.048561949481309444,-0.28202978088285596,-0.3519989065224871,0.0
34.432,0.023194303340987404,-0.2881428674392027,-0.3293614691533287,0.0
34.56,-0.019587960190240013,-0.29893868015439445,-0.3821117057555546,0.0
34.688,-0.04109326319435862,-0.24692522337630693,-0.4150542894458186,0.0
34.816,0.0007063100544726932,-0.25373358974305193,-0.40574956795646855,0.0
34.944,0.042515389444062066,-0.4192252465503777,-0.44300155070277814,0.0
35.072,0.041408956691025636,-0.4085919329171328,-0.5040984697060985,0.0
35.2,0.057697612163172,-0.4163066374362975,-0.5202495594670447,0.0
35.328,0.06299997052550883,-0.42403193986824067,-0.5433254293173923,0.0
35.456,0.07612257045411455,-0.3858940597657154,-0.5692052308509641,0.0
35.584,0.023718212285119313,-0.45686689359870736,-0.5687407571375662,0.0
35.712,0.05730665985946308,-0.42407930968759394,-0.6732899287255417,0.0
35.84,0.059900886060200366,-0.5605123350840313,-0.7243064202098525,0.0
35.968,0.03510556838472541,-0.7111163443488334,-0.7167852261470348,0.0
36.096000000000004,0.07022000097777327,-0.6163783451353817,-0.6891958169787649,0.0
36.224000000000004,0.051785454592911576,-0.5888841378009686,-0.6114757527030676,0.0
36.352000000000004,0.028009524000908656,-0.6653684754907017,-0.5704135608759656,0.0
36.480000000000004,0.0036527366745987768,-0.6769081641057239,-0.7025974261821416,0.0
36.608000000000004,0.013896028035333902,-0.6807129837500046,-0.7982999890332126,0.0
36.736000000000004,0.025540103794156156,-0.6277458904572132,-0.7880569037626911,0.0
36.864000000000004,-0.004787453178523145,-0.647124814663113,-0.7006412453011296,0.0
36.992,0.020618698187841993,-0.6772604635151229,-0.7000372465048379,0.0
37.12,0.04397486170002786,-0.5933566582542703,-0.6957899726104968,0.0
37.248,0.03376049771115656,-0.6214898910725271,-0.6374719719293929,0.0
37.376,0.056658571954358854,-0.5524534617478877,-0.5902673328219161,0.0
37.504,0.05024939292570341,-0.5483427349658109,-0.6063061360546932,0.0
37.632,0.022345326163708715,-0.5657855953055669,-0.5871063281692434,0.0
37.76,0.053167854864360486,-0.5350682612958042,-0.49733746343688706,0.0
37.888,0.018883434729758668,-0.36783113198576145,-0.3938827227629946,0.0
38.016,-0.004385975516288221,-0.4882521281991331,-0.5494299383802536,0.0
38.144,-0.015563606583564513,-0.5174727047461827,-0.515955872289213,0.0
38.272,0.017214175051701686,-0.48913941149431156,-0.38211568338049573,0.0
38.4,0.020609223287741327,-0.5182835870244165,-0.4566375215201679,0.0
38.528,-0.0015060955055400931,-0.5274763577209928,-0.4590909573618338,0.0
38.656,0.02717995286739012,-0.4841986540559211,-0.3398732670556234,0.0
38.784,0.022488012229690095,-0.4828255347385768,-0.34341669940427066,0.0
38.912,0.07597958591669329,-0.3640928112566121,-0.40466894670418263,0.0
39.04,0.04665454894813837,-0.26002862163515783,-0.22846433572589492,0.0
39.168,0.026722530616345497,-0.1604077810345888,-0.0287876495550475,0.0
39.296,0.024662352568749907,-0.2391708976182096,-0.1573887613109812,0.0
39.424,0.053863986813329434,-0.1717463635342573,-0.23229187094810028,0.0
39.552,0.044270152036021845,-0.38321429750721053,-0.06455698797362845,0.0
39.68,0.04248644558804009,-0.33213518476887444,0.0676638998945783,0.0
39.808,0.033073987956559636,0.08640363609718789,0.34548989351875026,0.0
39.936,0.036059112093573764,0.49619697230359583,0.9770401300063364,0.0
40.064,0.04999207750879339,0.3945069264276275,0.517359484171823,0.0
40.192,0.12458849997666276,0.37426042582548175,0.40491621839922,0.0
40.32,0.028810618068542664,0.10479015230797958,-0.14972067719351284,0.0
40.448,0.0515181533569908,-0.2687162361188957,-0.4813748229021637,0.0
40.576,0.04892437316317441,-0.2080536168621824,-0.38900077681431255,0.0
40.704,0.018826573815570784,0.09569217084443815,-0.015572965234580856,0.0
40.832,0.015984238400126922,0.149794606409108,0.2799916748470204,0.0
40.96,0.02058079852542619,-0.2472965400730917,0.07398299258238984,0.0
41.088,0.003948807668771989,-0.557088900244933,-0.34226987513719764,0.0
41.216,0.01566961680420654,-0.5554764032623037,-0.5571331508682545,0.0
41.344,0.029221194513618723,-0.6687156189149956,-0.6839469897189059,0.0
41.472,0.018730620178803295,-0.7566926010497527,-0.6173948890991483,0.0
41.6,0.01611754919822131,-0.7657050160778646,-0.6521027183004735,0.0
41.728,0.011520997101764012,-0.8336445753025921,-0.6148123756758207,0.0
41.856,0.034809375100498474,-0.7209580266691472,-0.6226302171764826,0.0
41.984,0.020275818659897353,-0.7130621378973778,-0.6735030386130935,0.0
42.112,0.008774706369396361,-0.6531234915547202,-0.7256037441744634,0.0
42.24,0.01043373107553379,-0.6136889637897373,-0.7100326529123352,0.0
42.368,0.006647987561601707,-0.5180164348507563,-0.5027184928225426,0.0
42.496,0.02504412310476886,-0.3997509231352265,-0.23117177688302482,0.0
42.624,0.0008208625315266325,-0.6022449932287371,-0.5295021851917893,0.0
42.752,-0.03572371536539846,-0.6039521010587894,-0.6992657852259971,0.0
42.88,-0.030278261604628365,-0.5762377033409394,-0.6417441958794444,0.0
43.008,-0.01814775776836526,-0.5771632017346393,-0.5853315337166356,0.0
43.136,0.005970008728125406,-0.5249492989788308,-0.5897495201602195,0.0
43.264,-0.0052732897207644494,-0.5670356613866075,-0.6400030828128958,0.0
43.392,0.0908385601485204,-0.6375216146508564,-0.6658959055614551,0.0
43.52,0.15603108262313328,-0.5886364024544405,-0.6741598217281941,0.0
43.648,0.07043903512133896,-0.678080625689526,-0.6515160144163762,0.0
43.776,0.0018410845277167028,-0.6250185422864867,-0.6529808677516653,0.0
43.904,0.06002468203118559,-0.7410621264903112,-0.690455179050916,0.0
44.032000000000004,0.05284336751941213,-0.7498920200742452,-0.7052633766290204,0.0
44.160000000000004,0.04003590983951549,-0.7541083356995176,-0.7681273136322682,0.0
44.288000000000004,0.04809443601278532,-0.8070749399452555,-0.8084332120774796,0.0
44.416000000000004,0.01075802804283637,-0.7351484281692157,-0.7466626128642917,0.0
44.544000000000004,-0.03532378529217421,-0.6976790795239102,-0.7353107790588826,0.0
44.672000000000004,-0.011481679126828322,-0.6978411761226498,-0.7252754012410636,0.0
44.800000000000004,0.006580963140019085,-0.6424800780597005,-0.7242511009384921,0.0
44.928000000000004,0.016317807796213883,-0.6376544850049726,-0.7067154376787541,0.0
45.056,0.03286406242729906,-0.6521597903348981,-0.706802884039126,0.0
45.184,0.005322231484395673,-0.7985401020458796,-0.6963888661315532,0.0
45.312,0.026722530616345497,-0.6736938513719604,-0.7450277964292469,0.0
45.44,0.03877669889675221,-0.6539055375321312,-0.7720941044313689,0.0
45.568,0.003719783695481693,-0.7467741433990362,-0.7863906478664693,0.0
45.696,-0.03378801038338097,-0.6906404444496871,-0.7558610348614458,0.0
45.824,0.01603223052314668,-0.6553360574920748,-0.7456387402756031,0.0
45.952,0.011464087969857976,-0.5863753499591118,-0.7990816970969032,0.0
46.08,-0.00654146301332491,-0.6759257798489006,-0.747620160437952,0.0
46.208,-0.010051139919189883,-0.6663887624812886,-0.7015407420523766,0.0
46.336,0.03319757554331534,-0.6238838349515659,-0.7219690823414924,0.0
46.464,0.09424253781162101,-0.7105629681172044,-0.7274572527076781,0.0
46.592,0.059910318196274286,-0.6545628433980584,-0.7212323666984239,0.0
46.72,0.05378788696898287,-0.5932231927148656,-0.7215363860365182,0.0
46.848,0.025864429072997193,-0.6323240184317296,-0.7573366595918906,0.0
46.976,0.005522739127025652,-0.6022634432157083,-0.7311592966301304,0.0
47.104,0.00637098948010228,-0.5808439693271332,-0.7083731297902007,0.0
47.232,0.0173764947216969,-0.5901426154275641,-0.7362986321253102,0.0
47.36,0.0040728103571225005,-0.6166357946477664,-0.7367662768004263,0.0
47.488,-0.01238814601397201,-0.5490679787922926,-0.7053083946599201,0.0
47.616,0.028963255382227056,-0.5877776412873794,-0.7158135541095723,0.0
47.744,0.048199510676477035,-0.5583377152412277,-0.6804775207784679,0.0
47.872,0.009785100814747361,-0.43340622275608187,-0.6811915156124748,0.0
48.0,0.044642203566620894,-0.42840912938250625,-0.5950976398316068,0.0
48.128,0.07283274181101904,-0.6054584267233014,-0.643891191487149,0.0
48.256,0.011616437621388621,-0.5202578694762795,-0.6150327718461583,0.0
48.384,0.045194936415161494,-0.49848493684564166,-0.6089042176965533,0.0
48.512,0.043010964178526075,-0.6091212815149248,-0.6270958477250173,0.0
48.64,0.016976021724601754,-0.6026928936400633,-0.6615599297701648,0.0
48.768,-0.000514094049948357,-0.5783362334429447,-0.7094740902288224,0.0
48.896,-0.014790592222808856,-0.5829137774951708,-0.6886432377930727,0.0
49.024,-0.012616412258250087,-0.5930229982509336,-0.6596856294488979,0.0
49.152,-0.014905350775556065,-0.5539319017371882,-0.6559784973570953,0.0
49.28,-0.0035278495422204383,-0.5977144812680277,-0.6893529053104362,0.0
49.408,0.022974666575003237,-0.6232447901710019,-0.6689318644708302,0.0
49.536,-0.012502278386253257,-0.620441074523965,-0.6993764459125997,0.0
49.664,-0.028848196939292164,-0.48746036875225907,-0.6780226369116318,0.0
